iter	Passed	Remaining
0	195	195692
1	205	102347
2	208	69395
3	212	52809
4	215	42933
5	236	39217
6	239	34003
7	242	30041
8	244	26962
9	270	26816
10	274	24654
11	276	22754
12	309	23474
13	311	21954
14	314	20651
15	316	19462
16	323	18721
17	326	17793
18	328	16961
19	330	16218
20	333	15539
21	335	14921
22	338	14381
23	348	14157
24	351	13706
25	353	13252
26	359	12945
27	361	12559
28	368	12344
29	381	12329
30	383	11975
31	384	11643
32	394	11549
33	395	11247
34	397	10962
35	399	10691
36	401	10437
37	477	12091
38	505	12450
39	509	12234
40	513	12018
41	517	11796
42	520	11575
43	522	11354
44	525	11143
45	528	10969
46	531	10779
47	533	10589
48	536	10406
49	538	10228
50	540	10056
51	545	9946
52	547	9784
53	549	9628
54	551	9477
55	553	9331
56	555	9189
57	559	9091
58	561	8959
59	563	8830
60	565	8706
61	567	8586
62	569	8469
63	571	8356
64	593	8536
65	595	8424
66	597	8314
67	599	8213
68	601	8109
69	603	8014
70	607	7947
71	609	7851
72	611	7759
73	612	7668
74	614	7582
75	632	7694
76	635	7615
77	656	7758
78	658	7679
79	660	7600
80	663	7524
81	665	7449
82	666	7362
83	670	7312
84	672	7242
85	674	7173
86	677	7105
87	679	7040
88	681	6976
89	690	6985
90	693	6922
91	695	6862
92	697	6800
93	700	6755
94	702	6696
95	717	6755
96	719	6698
97	721	6643
98	723	6587
99	726	6534
100	728	6482
101	730	6429
102	732	6380
103	734	6329
104	736	6280
105	738	6231
106	740	6182
107	742	6133
108	746	6104
109	756	6124
110	758	6078
111	762	6048
112	765	6006
113	767	5965
114	769	5925
115	772	5885
116	774	5841
117	778	5817
118	780	5780
119	783	5743
120	785	5708
121	787	5667
122	806	5752
123	811	5734
124	814	5699
125	816	5665
126	819	5629
127	821	5597
128	827	5587
129	831	5563
130	833	5529
131	835	5494
132	838	5462
133	859	5557
134	862	5523
135	864	5490
136	866	5457
137	868	5426
138	875	5421
139	877	5390
140	879	5357
141	880	5320
142	882	5289
143	886	5269
144	890	5248
145	924	5410
146	927	5384
147	930	5356
148	936	5347
149	940	5327
150	942	5298
151	944	5269
152	946	5240
153	951	5227
154	953	5200
155	955	5171
156	973	5225
157	975	5197
158	1008	5336
159	1014	5323
160	1015	5293
161	1018	5266
162	1020	5239
163	1053	5370
164	1056	5345
165	1071	5381
166	1073	5353
167	1086	5379
168	1088	5351
169	1100	5373
